business,category,title,value,conditions,valid_at,max_uses,address,photo,note
Golden Corral Buffet,restaurants,2-4-1! Weekend Breakfast Buffet! Orem,2-4-1!,,,2,,"1,3,4",
Gurus Cafe,restaurants,"Buy Any Breakfast Entree, Get One FREE! Provo Center St & UVU",FREE!,,,1,,"1,3,4",
Gurus Cafe,restaurants,"Buy Lunch/Dinner Entree & 2 Drinks, Get Entree FREE! Provo Cntr & UVU",FREE!,,,1,,"1,3,4",
Holy Taco,restaurants,"Buy Any Menu Item, Get One FREE! All Locations",FREE!,,,1,,"1,3,4",
Holy Taco,restaurants,"Buy Any Taco, Get One FREE! All Locations",FREE!,,,3,,"1,3,4",
Kohinoor Cuisine of India,restaurants,"Buy One Entree, Get One 50% OFF!",50% OFF!,,,3,,"1,3,4",
Konala Protein Bowls & Salads,restaurants,2-4-1! Protein Bowl or Salad!,2-4-1!,,,2,,"1,3,4",
La Carreta's Peruvian Restaurant,restaurants,"Buy 1 Entree & 2 Drinks, Get 1 Entree FREE! M-Th",FREE!,,,1,,"3,4",
Leilani's Polynesian Place,restaurants,2-4-1! Beef or Chicken Teriyaki Plate!,2-4-1!,,,3,,"3,4",
LoLo Hawaiian BBQ,restaurants,"Buy 1 Plate Lunch or Mini Meal w/2 drinks, Get 1 FREE! All Locs",FREE!,,,2,,"3,4",
Magleby's Fresh,restaurants,"Buy 1 Breakfast Entree & 2 Drinks, Get 1 FREE!",FREE!,,,3,,"3,4",
Los Hermanos,restaurants,"Buy 1 Entrée & 2 Drinks, Get One Entrée FREE! Up to $15",FREE!,,,3,,"3,4",
Nautical Bowls,restaurants,2-4-1! Any Acai Bowl or Any Other Bowl!,2-4-1!,,,3,,"3,4",
Ombu Grill,restaurants,"Buy 1 Menu Item & 2 Drinks, Get 1 Menu Item FREE! Excl. Buffet",FREE!,,,2,,"3,4",
Outback Steakhouse,restaurants,"Buy Any Entree, Get a Bloomin' Onion FREE! Orem",FREE!,,,,,"3,4",
Outback Steakhouse,restaurants,"Buy 2 Entrees, Get a Dessert FREE! Orem",FREE!,,,,,"3,4",
P.F. Chang's,restaurants,"Buy One Entree, Get Lettuce Wraps FREE! Orem",FREE!,,,3,,"3,4",
Peruvian's Bunker,restaurants,"Buy 1 Entree and 2 Drinks, Get 1 Entree FREE!",FREE!,,,2,,"3,4",
Rancherito's,restaurants,"Buy a Combo Meal, Get a Combo Meal 50% OFF! PG Only",50% OFF!,,,2,,"3,4",
Rancherito's,restaurants,"Buy 1 Burrito, Get a Bean and Cheese Burrito FREE! PG Only",FREE!,,,3,,"3,4",
Rodizio Grill,restaurants,"Buy Any Entree, Get Any Specialty Beverage & Any Dessert FREE! (Up to 2 People) Excludes Holidays. Provo",FREE!,,,3,,"3,4",wraps to 2 lines
Rumbi Island Grill,restaurants,2-4-1! Any Rice Bowl! All UT Locations,2-4-1!,,,3,,"3,4",
Rumbi Island Grill,restaurants,"Buy 1 Menu Item and 2 Reg Drinks, Get 1 FREE! All UT",FREE!,,,3,,"3,4","line ends at ""All UT"" on the card"
Shirley's Bakery & Cafe,restaurants,"2-4-1! Soup, Salad, or Sandwich Entree",2-4-1!,,,3,,3,
Shirley's Bakery & Cafe,restaurants,50% OFF! One Dozen Sweet or Dinner Rolls!,50% OFF!,,,3,,3,
Shirley's Bakery & Cafe,restaurants,"Buy One Entree, Get a Side Soup or Salad FREE!",FREE!,,,3,,3,
Taco Time,restaurants,2-4-1! Any Single Menu Item! Orem,2-4-1!,,,3,,3,
Tamashi Ramen,restaurants,2-4-1! Ramen or Sushi Entree!,2-4-1!,,,1,,3,
Tandoor Indian Grill,restaurants,2-4-1! Entree!,2-4-1!,,,1,,3,
Thai Evergreen,restaurants,"Buy 1 Entree & 2 Drinks, Get 1 Entree FREE!",FREE!,,,2,,3,
The Great Greek Mediterranean Grill,restaurants,"Buy 1 Reg Gyro, Get 1 FREE!",FREE!,,,1,,3,
The Smoked Taco,restaurants,"Buy 1 Taco, Get 1 FREE! All Locations",FREE!,,,1,,3,
Umami Japanese Barbeque,restaurants,"Buy 1 Lunch Buffet, Get 1 FREE!",FREE!,,,1,,3,
Umami Japanese Barbeque,restaurants,"Buy 1 Lunch Buffet, Get 1 50% OFF!",50% OFF!,,,1,,3,
Village Inn,restaurants,2-4-1! Entree! Provo,2-4-1!,,,3,,3,
Village Inn,restaurants,"Buy an Entree, Get a Slice of Pie FREE! Provo",FREE!,,,3,,3,
Wallaby's,restaurants,"Buy Any Platter & 2 Drinks, Get Any Platter FREE! Up to $14",FREE!,,,3,,"3,5",
Wing Nutz,restaurants,2-4-1! Entree! Max Discount $15! Orem,2-4-1!,,,2,,"3,5",
Wingers,restaurants,2-4-1! Entree! Max Discount $10 Provo & Orem,2-4-1!,,,3,,"3,5",
Wingers,restaurants,FREE! Appetizer or Dessert w/ Any Entree Purchase! Provo & Orem,FREE!,,,3,,"3,5",
Wingstop,restaurants,2-4-1! 6 Piece Combo Meal! All Northern UT locations,2-4-1!,,,2,,"3,5",
Wingstop,restaurants,"Buy ANY Order of Wings, Get 5 Wings FREE! All Northern UT locs",FREE!,,,2,,"3,5",
Yummy's Korean BBQ,restaurants,"Buy 1 Entree and 2 Sodas, Get 1 FREE! Up to $11",FREE!,,,1,,"3,5",
Angelus Theatre,entertainment,2-4-1! Ticket! M-Th Only. Use Code: SSC at GreatHall.Live,2-4-1!,,,1,,"3,5",
Back Nine Golf,entertainment,"Buy 1 Hour, Get 1 FREE! Code: SSCARD Bring Clubs All UT Locs",FREE!,,,3,,"3,5",
BYU Bowling & Games Center,entertainment,2-4-1! Game of Bowling! M-Fri Before 6pm. Excludes Holidays! Shoe Rental Not Included!,2-4-1!,,,2,,"3,5",wraps to 2 lines
BYU Outdoors Unlimited,entertainment,"2-4-1! Downhill Ski, Snowboard, or CC Ski Rental! M-Th",2-4-1!,,,3,,"3,5",
BYU Outdoors Unlimited,entertainment,2-4-1! One Hour Tandem Bike Rental!,2-4-1!,,,3,,"3,5",
CLAS Ropes Course,entertainment,"2-4-1! Admission to ① Christmas and ① Halloween Cruise! Valid M-Th, 8pm Ride.",2-4-1!,,,2,,"3,5","no left bubbles; split from one entry at the second 2-4-1!; each ① is a separate activity (Christmas Cruise, Halloween Cruise)"
CLAS Ropes Course,entertainment,2-4-1! ① Canoe Rental! ① Zipline Tour! Reservation Required,2-4-1!,,,2,,5,"no left bubbles; split from one entry at the second 2-4-1!; each ① is a separate activity (Canoe Rental, Zipline Tour)"
Classic Fun Center,entertainment,"2-4-1! Skating, Climbing, Bouncing or Laser Tag! Orem",2-4-1!,,,3,,5,
Coin Crazy,entertainment,50% OFF! 1 Hr of Bowling! M-Th Before 6 PM,50% OFF!,,,3,,5,
Coin Crazy,entertainment,"Buy a 2 hr Play Pass, Get a 2 hr Play Pass FREE!",FREE!,,,2,,5,
Color Me Mine,entertainment,2-4-1! Studio Fee! M-Th,2-4-1!,,,,,5,
ComedyBox Utah,entertainment,"Buy One Admission, Get One FREE!",FREE!,,,3,,5,
Conquer Padel,entertainment,50% OFF! Any Membership! Excludes Founder Membership,50% OFF!,,,1,,5,
Dragon's Keep,entertainment,"Buy 1 Board Game, Get 1 50% OFF! All Locations",50% OFF!,,,1,,5,
Dragon's Keep,entertainment,"Buy 1 Graphic Novel, Get 1 50% OFF! All Locations",50% OFF!,,,1,,5,
Dreamwalk Park,entertainment,"Buy 1 Adult Ticket, Get a Child Ticket FREE!",FREE!,,,3,,5,
Dreamwalk Park,entertainment,"Buy 1 Adult Ticket, Get an Adult or Child Ticket 50% OFF!",50% OFF!,,,3,,5,
DryBarComedy.com,entertainment,2-4-1! Comedy Show Admission! Use Code DBSSC Provo,2-4-1!,,,1,,5,
Escapes In Time,entertainment,50% OFF! Any Group Admission for One Room! Use Code SSC,50% OFF!,,,1,,5,
FatCats,entertainment,2-4-1! Arcade Card! Up to $25 Provo,2-4-1!,,,3,,5,
FatCats,entertainment,50% OFF! 1 Hr Pool Table! Provo,50% OFF!,,,3,,5,
FatCats,entertainment,50% OFF! Bowling! Before 8 PM Provo,50% OFF!,,,3,,5,
Game Grid,entertainment,$25 OFF! Any Purchase of $50 or More! Lehi,$25 OFF!,,,1,,5,
Game Grid,entertainment,$5 OFF! Any Magic Tournament! Lehi,$5 OFF!,,,3,,5,
GetOut Games,entertainment,50% OFF! Group Admission for One Room! M-Th,50% OFF!,,,1,,5,
Hang Time Adventure Park,entertainment,2-4-1! Hour for Same Person! M-Th,2-4-1!,,,,,5,
Heber Hatchets,entertainment,2-4-1! Axe Throwing! Up to 4 Throwers. M-Th,2-4-1!,,,2,,5,
HiddenHunts.com,entertainment,30% OFF! Treasure Hunt Adventure! Code: SSC,30% OFF!,,,,,5,
High Country Adventure,entertainment,2-4-1! River Tubing! Valid M-F Code SSC Provo Canyon,2-4-1!,,,1,,5,
Improv Broadway,entertainment,"Buy 1 Admission, Get 1 FREE!",FREE!,,,3,,5,
Jack & Jill Lanes,entertainment,2-4-1! Bowling for Same Player! Shoes Not Included! M-Thurs Before 6pm! Not Valid Holidays! Lehi & AF,2-4-1!,,,3,,5,wraps to 2 lines
Jack & Jill Lanes,entertainment,2-4-1! Game of Laser Tag for Same Player! M-Th before 6pm. Not Valid Holidays! Lehi Only,2-4-1!,,,3,,5,wraps to 2 lines
Karaoke38,entertainment,2-4-1! Hour of Karaoke!,2-4-1!,,,1,,5,
Karaoke38,entertainment,2-4-1! Hour of Karaoke! M-Th Max 8 People Per Use,2-4-1!,,,,,5,
Kreative Kiln,entertainment,"Buy One ""Play in the Clay"" Session, Get One FREE!",FREE!,,,2,,5,
LAN King,entertainment,2-4-1! Hour of Game Time! Up to 4 Players,2-4-1!,,,3,,5,
LAN King,entertainment,25% OFF! Unlimited 30-Day Pass!,25% OFF!,,,,,5,
LAN King,entertainment,50% OFF! Private Party for Up to 10 Players!,50% OFF!,,,1,,5,
Laser Assault,entertainment,2-4-1! Laser Assault Game!,2-4-1!,,,3,,5,
Laser Assault,entertainment,50% OFF! Friday Night Fire Fight Pass!,50% OFF!,,,2,,"5,6",
Lowes Xtreme Air Sports,entertainment,2-4-1! Admission!,2-4-1!,,,3,,"5,6",
Marnell's Country Dance,entertainment,2-4-1! Admission to Open Dance Night! All Locations,2-4-1!,,,3,,"5,6",
Miracle Bowl,entertainment,"2-4-1! Game! Up to 3 free games per visit! Not Valid after 5 PM, Saturdays, Holidays or School Holidays! Orem",2-4-1!,,,,,"5,6",wraps to 2 lines
Ninja Playground,entertainment,2-4-1! Admission to Open Gym!,2-4-1!,,,2,,"5,6,11",
Padel Den,entertainment,"Buy One Hr, Get One FREE!",FREE!,,,2,,"5,6,11",
Peaks Ice Arena,entertainment,2-4-1! Reg Admission! Skate Rental Not Included,2-4-1!,,,1,,"5,6,11",
Provo Beach,entertainment,2-4-1! Attraction! Excludes Flowrider,2-4-1!,,,3,,"5,6,11",
Provo Canyon Adventures,entertainment,2-4-1! Zipline Tour! Appt. Req. Please Tip,2-4-1!,,,1,,"5,6,11",
Quarry Indoor Climbing Center,entertainment,2-4-1! Day Pass! Shoes and Harness Not Included! Not Valid Monday or Saturday After 6pm!,2-4-1!,,,1,,"5,6,11",wraps to 2 lines
Rainbow Bay Aqua Park,entertainment,2-4-1! Day Pass!,2-4-1!,,,1,,"5,6,11",
Rainbow Bay Aqua Park,entertainment,2-4-1! One Hr or Two Hr Admission!,2-4-1!,,,1,,"5,6,11",
Rowley's Red Barn,entertainment,2-4-1! Admission to Corn Maze and Fall Festival! M-Th,2-4-1!,,,1,,"6,11",
Salsa Chocolate Latin Dance Night,entertainment,2-4-1! Thurs Admission!,2-4-1!,,,3,,"6,11",
SCERA,entertainment,2-4-1! Same Day Musical Tickets! Present Card in Person,2-4-1!,,,3,,"6,11",
Scratch Miniature Golf,entertainment,2-4-1! Round of Mini Golf!,2-4-1!,,,2,,"6,11",
Splash of Color Pottery,entertainment,"Buy Any Pottery Piece, Get the 2nd FREE!",FREE!,,,1,,"6,11",
The Hive Trampoline Park,entertainment,2-4-1! First Month Any Membership!,2-4-1!,,,2,,"6,11",
The Picklr,entertainment,2-4-1! 3 Hr Open Play Session! Lehi & Bluffdale,2-4-1!,,,1,,"6,11",
The Rift Augmented Reality,entertainment,2-4-1! Any Experience! Max 8 People Provo,2-4-1!,,,3,,"6,11",
The Ruth,entertainment,50% OFF! Same Day Ticket! Present Card in Person,50% OFF!,,,3,,"6,11",
This Is The Place Heritage Park,entertainment,2-4-1! Admission!,2-4-1!,,,2,,"6,11",
Tippin Point,entertainment,2-4-1! Wednesday Admission!,2-4-1!,,,3,,"6,11",
Utah Center for the Ceramic Arts,entertainment,50% OFF! One Class! Code: SSC,50% OFF!,,,2,,"6,11",
Voltage eBike,entertainment,"Rent 1 eBike for 1 Hr, Get 2nd eBike FREE! M-Th",FREE!,,,3,,"6,11",
Wayfarer Theaters,entertainment,2-4-1! Movie Ticket!,2-4-1!,,,3,,"6,11",
Zipline Utah,entertainment,2-4-1! Screaming Falcon Big Line! or Falcon Rush! Code: SSC24ZU,2-4-1!,,,1,,"6,11",
Axcess Accident Center,retail,Buy 1 Chiropractic Adjustment or Acupuncture Treatment $15!,$15!,,,2,,"6,11",
Axcess Accident Center,retail,Ozone Injection for Only $30!,$30!,,,2,,"6,11",
Body Balance Massage and Float,retail,2-4-1! 1 Hour Float (Sensory Deprivation) AF,2-4-1!,,,1,,"6,11",
BYU Store,retail,"Buy Any Hat, Get One 50% OFF!",50% OFF!,,,1,,"6,11",BYU logo in bubble column; bubbles printed after the name
BYU Studio 1030,retail,50% OFF! Haircut!,50% OFF!,,,2,,"6,11",BYU logo in bubble column; bubbles printed after the name
BYU Studio 1030,retail,25% OFF! Any Product!,25% OFF!,,,2,,"6,11",BYU logo in bubble column; bubbles printed after the name
"Cell Again, Bad Apple & FIXIT",retail,$20 OFF! Any Service or Repair! All Locs,$20 OFF!,,,3,,"6,11",business name contains a comma
Classy Smiles,retail,50% OFF! Luxe or Luxe Duo Teeth Whitening!,50% OFF!,,,1,,"6,11",
Durfey Dry Cleaners,retail,2-4-1! Dry Cleaned or Laundered Item! Up to $20 All UT Cnty Locs,2-4-1!,,,2,,"6,11",
Fabulous Freddy's,retail,2-4-1! Basic Car Wash! Lehi,2-4-1!,,,1,,"6,11",
Fabulous Freddy's,retail,2-4-1! VIP Car Wash! Lehi,2-4-1!,,,1,,"6,11",
FORGE Jewelry Works,retail,30% OFF! Any Jewelry Item! Excl. Loose Diamonds/Gemstones,30% OFF!,,,,,"6,11",
Fossil Shack,retail,2-4-1! Any Item! Max Discount $100,2-4-1!,,,1,,"6,11",
G.O.A.T Haircuts,retail,$10 OFF! Any Men's Haircut! Please Tip! Call for Appt,$10 OFF!,,,2,,"6,11",
Grease Monkey,retail,"50% OFF! Full Service Conv. Oil Change! Lehi (Pioneer Crs), Herriman",50% OFF!,,,1,,"6,11","""Herriman"" runs to the card edge"
Grease Monkey,retail,$10 OFF! Full Service Oil Change! Same Locations,$10 OFF!,,,,,"6,11",
Havoline,retail,$20 OFF! Any Oil Change Service!,$20 OFF!,,,,,"6,11",
Havoline,retail,$40 OFF! Brakes! per axle,$40 OFF!,,,,,"6,11",
Havoline,retail,25% OFF! Emissions!,25% OFF!,,,,,"6,11",
Healing Mountain Massage,retail,2-4-1! Foot Spa Massage! Orem,2-4-1!,,,1,,"6,11",
Jiffy Lube,retail,$10 OFF! Vehicle Emissions! All Utah County MSKCU2,$10 OFF!,,,1,,"6,11",code MSKCU2 also printed in blue; value uses the offer only
Jiffy Lube,retail,$25 OFF! Any Oil Change! All Utah County D9EUP2,$25 OFF!,,,,,"6,11",code D9EUP2 also printed in blue; value uses the offer only
Mandalyn Academy,retail,2-4-1! Any Facial or Luxury Back Treatment!,2-4-1!,,,2,,"6,11",
Mandalyn Academy,retail,50% OFF! Dermaplaning!,50% OFF!,,,2,,"6,11",
MTECH Cosmetology,retail,$4 Haircut & Style! Lehi & SF,$4 Haircut & Style!,,,2,,"6,11",
Monster Pest Control,retail,50% OFF! Pest Control Treatment! New Customers! Up to $40!,50% OFF!,,,1,,"6,11",
Oil Rig Automotive,retail,50% OFF! Full Gusher (Synthetic) Oil Change! All Locs,50% OFF!,,,1,,"6,11",
Oil Rig Automotive,retail,50% OFF! Strike (Synthetic Blend) Oil Change! All Locs,50% OFF!,,,1,,"6,11",
Oil Rig Automotive,retail,FREE! OTS Renewal With Emissions! All Locs,FREE!,,,1,,"6,11",
Paul Mitchell the School Provo,retail,50% OFF! Manicure or Pedicure!,50% OFF!,,,1,,"6,11",
Paul Mitchell the School Provo,retail,50% OFF! Brow Wax Service!,50% OFF!,,,1,,"6,11",
Revive PT Cryo,retail,2-4-1! Any Spa Amenity! Appointment Required,2-4-1!,,,,,"6,11",
Revive PT Cryo,retail,2-4-1! Cryo Chamber! Appointment Required,2-4-1!,,,3,,11,
Revive PT Cryo,retail,2-4-1! One Hr Massage! Appointment Required,2-4-1!,,,1,,11,
Stretch Zone,retail,2-4-1! Practitioner Assisted Stretch Session! All UT,2-4-1!,,,1,,"6,11",
Stretch Zone,retail,25% OFF! Month of Stretches! All Utah Locations,25% OFF!,,,1,,11,
SSCDeals.com,retail,Get the App for Only $30!,$30!,,,2,,11,"card company's separate app offer, kept per Adam; goes in the app's hidden section"
Tax Freedom Fighters,retail,50% OFF! Tax Preparation!,50% OFF!,,,1,,11,
Taylor Andrews Academy,retail,$10 OFF! Hair Color Service! Provo & WJ,$10 OFF!,,,3,,11,
The Forum Academy,retail,FREE! Haircut w/ Purchase of Any Color or Chemical Service!,FREE!,,,3,,11,
UVU Store,retail,20% OFF! Any Single Art or School Supply Item!,20% OFF!,,,3,,11,
UVU Store,retail,20% OFF! UVU Apparel item or UVU Emblematic Item. Restrictions Apply,20% OFF!,,,1,,11,
ZAGG,retail,"20% OFF! Any Glass Screen Protection, Phone Case, Headphones, Power Bank or Bluetooth Keyboard! UT County Stores",20% OFF!,,,2,,11,wraps to 2 lines
5 Star BBQ,free,FREE! Side Order of Fried Funeral Potatoes!,FREE!,,,1,,7,
5 Star BBQ,free,FREE! Side!,FREE!,,,1,,7,
Auntie Anne's,free,"FREE! Small Lemonade Mixer! Orem, Lehi & Draper",FREE!,,,1,,7,
Bonchon Korean Fried Chicken,free,FREE! 2 Wings! Orem & Lehi,FREE!,,,1,,7,
Brazuca Pizza,free,FREE! 5oz Scoop Acai Sorbet!,FREE!,,,1,,7,
Bubbakoo's Burritos,free,"FREE! Chicken, Pork or Beef Taco w/ Choice of Sauce!",FREE!,,,1,,7,
Buffalo Wild Wings,free,FREE! Order of Fried Pickles or Chips & Salsa! Orem & Lehi,FREE!,,,1,,7,
Burgers Supreme,free,FREE! Flavor Burst Ice Cream Cone!,FREE!,,,1,,7,
BYU Outdoors Unlimited,free,FREE! Ski or Snowboard Rental! M-Th,FREE!,,,1,,7,
BYU Studio 1030,free,FREE! Wash and Blow Dry!,FREE!,,,1,,7,
"Cell Again, Bad Apple & FIXIT",free,FREE! External Device Cleaning! All Locs,FREE!,,,3,,7,business name contains a comma
CLAS Ropes Course,free,FREE! Pass to Aerial Adventure Park! Call to Book.,FREE!,,,1,,7,
Classic Fun Center,free,"FREE! Skating, Climbing, Bouncing or Laser Tag! Orem",FREE!,,,2,,7,
Coin Crazy,free,FREE! Ice Cream Cone!,FREE!,,,1,,7,
Color Me Mine,free,FREE! Studio Admission!,FREE!,,,1,,7,
ComedyBox Utah,free,FREE! Admission!,FREE!,,,1,,7,
Conquer Padel,free,FREE! Class & FREE! Court Reservation!,FREE!,,,1,,7,only the first FREE! is blue
